Country,Cases,Deaths,Population
,North America,"+2,617",
,Asia,"+1,495",
,Europe,"+1,677",
,South America,+22,
,Oceania,,
,Africa,,
,,,
,World,"+5,811",
1,USA,"+2,608","3,526,424"
2,India,,"661,721"
3,France,"+1,420","4,139,547"
4,Germany,,"1,458,359"
5,Brazil,,"296,146"
6,Japan,,"799,578"
7,S. Korea,,"307,892"
8,Italy,,"4,534,503"
9,UK,,"7,628,357"
10,Russia,,"1,875,095"
11,Turkey,,"1,902,052"
12,Spain,,"10,082,298"
13,Australia,,"3,142,326"
14,Vietnam,+140,"867,342"
15,Taiwan,,"1,286,903"
16,Argentina,,"776,264"
17,Netherlands,,"1,509,718"
18,Mexico,,"152,124"
19,Iran,,"660,364"
20,Indonesia,+84,"408,975"
21,Poland,+29,"1,027,563"
22,Colombia,,"717,327"
23,Greece,,"9,909,078"
24,Austria,+171,"23,302,116"
25,Portugal,,"4,549,993"
26,Ukraine,,"754,855"
27,Chile,+22,"2,586,479"
28,Malaysia,,"2,060,225"
29,Israel,+483,"4,436,346"
30,Belgium,,"3,172,590"
31,DPRK,,
32,Thailand,,"246,450"
33,Canada,,"1,728,207"
34,Czechia,+32,"5,330,127"
35,Peru,,"1,150,483"
36,Switzerland,,"2,716,487"
37,Philippines,+584,"314,713"
38,South Africa,,"441,027"
39,Romania,,"1,451,500"
40,Denmark,+13,"22,159,207"
41,Hong Kong,,"10,011,143"
42,Sweden,,"1,908,301"
43,Serbia,,"1,501,476"
44,Singapore,,"4,165,302"
45,Iraq,,"463,523"
46,New Zealand,,"1,586,011"
47,Hungary,,"1,186,160"
48,Bangladesh,,"90,862"
49,Slovakia,,"1,361,261"
50,Georgia,,"4,263,340"
51,Jordan,,"1,669,945"
52,Ireland,,"2,606,161"
53,Pakistan,,"133,215"
54,Norway,,"1,996,315"
55,Finland,,"2,178,453"
56,Kazakhstan,,"602,707"
57,Slovenia,+5,"1,370,382"
58,Lithuania,,"3,930,334"
59,Bulgaria,,"1,645,916"
60,Morocco,,"344,191"
61,Croatia,,"1,381,652"
62,Guatemala,,"399,665"
63,Lebanon,,"717,380"
64,Costa Rica,,"899,158"
65,Bolivia,,"225,993"
66,Tunisia,,"416,164"
67,Cuba,+9,"1,268,918"
68,UAE,,"19,910,389"
69,Ecuador,,"170,173"
70,Panama,,"1,730,886"
71,Uruguay,,"1,749,083"
72,Mongolia,,"1,193,000"
73,Nepal,,"200,088"
74,Belarus,,"1,446,722"
75,Latvia,,"4,260,855"
76,Saudi Arabia,,"1,268,848"
77,Azerbaijan,,"741,586"
78,Paraguay,,"363,751"
79,Bahrain,,"6,092,999"
80,Sri Lanka,+1,"300,619"
81,Kuwait,,"1,930,391"
82,Dominican Republic,,"338,350"
83,Cyprus,,"7,879,860"
84,Myanmar,,"194,618"
85,Palestine,,"575,907"
86,Moldova,,"801,437"
87,Estonia,,"2,815,855"
88,Venezuela,,"114,771"
89,Egypt,,"34,792"
90,Qatar,+28,"1,364,257"
91,Libya,,"352,782"
92,Ethiopia,,"45,997"
93,Réunion,,"1,766,027"
94,Honduras,,"162,472"
95,Armenia,,"1,091,164"
96,Bosnia and Herzegovina,,"580,036"
97,Oman,,"4,695,724"
98,North Macedonia,,"1,069,626"
99,Zambia,,"210,569"
100,Kenya,,"70,569"
101,Albania,,"677,173"
102,Botswana,,"830,300"
103,Luxembourg,,"7,140,959"
104,Brunei,,"1,611,437"
105,Montenegro,+7,"4,393,898"
106,Algeria,,"5,093"
107,Nigeria,,"26,339"
108,Zimbabwe,,"164,744"
109,Uzbekistan,,"40,077"
110,Mozambique,,"41,437"
111,Martinique,,"2,215,870"
112,Afghanistan,+47,"31,234"
113,Laos,+11,"164,845"
114,Iceland,,"5,780,036"
115,Kyrgyzstan,,"283,460"
116,Guadeloupe,,"2,346,306"
117,El Salvador,,"398,467"
118,Trinidad and Tobago,,"649,295"
119,Maldives,,"4,092,223"
120,Ghana,,"78,298"
121,Namibia,,"403,460"
122,Uganda,,"62,198"
123,Jamaica,,"396,633"
124,Cambodia,+1,"180,062"
125,Rwanda,,"442,778"
126,Cameroon,,"62,762"
127,Malta,,"4,822,669"
128,Barbados,,"2,782,594"
129,Angola,,"42,818"
130,Channel Islands,,"7,099,551"
131,French Guiana,,"2,072,951"
132,DRC,,"8,890"
133,Senegal,,"64,946"
134,Malawi,,"30,959"
135,Ivory Coast,,"60,951"
136,Suriname,,"405,539"
137,New Caledonia,,"340,182"
138,French Polynesia,,
139,Eswatini,,"885,119"
140,Guyana,,"922,105"
141,Belize,,"1,397,453"
142,Fiji,,"739,466"
143,Madagascar,,"18,210"
144,Cabo Verde,,"707,482"
145,Sudan,,"12,240"
146,Mauritania,,"206,030"
147,Bhutan,,"2,923,739"
148,Syria,,"7,553"
149,Burundi,,"27,386"
150,Seychelles,,
151,Gabon,,"695,641"
152,Andorra,,"3,225,256"
153,Papua New Guinea,,"26,813"
154,Curaçao,,"3,000,640"
155,Aruba,,"1,653,068"
156,Tanzania,,
157,Mauritius,,"281,374"
158,Mayotte,,"618,038"
159,Togo,,"93,571"
160,Guinea,,"47,607"
161,Bahamas,,"643,767"
162,Isle of Man,,"1,758,422"
163,Lesotho,,"198,199"
164,Faeroe Islands,,"15,802,409"
165,Haiti,,"11,337"
166,Mali,,"37,473"
167,Cayman Islands,,"3,311,280"
168,Saint Lucia,,"1,139,752"
169,Benin,,"47,268"
170,Somalia,,"23,778"
171,Micronesia,,"701,598"
172,Congo,,"59,991"
173,Solomon Islands,,
174,San Marino,,"5,775,414"
175,Timor-Leste,,"203,391"
176,Burkina Faso,,"11,265"
177,Liechtenstein,,"2,929,559"
178,Gibraltar,,"15,852,213"
179,Grenada,,"1,612,523"
180,Bermuda,,"16,622,128"
181,Nicaragua,,
182,South Sudan,,"35,313"
183,Tajikistan,,
184,Equatorial Guinea,,"244,342"
185,Monaco,,"1,976,875"
186,Tonga,,"4,965,327"
187,Samoa,,"926,612"
188,Marshall Islands,,
189,Dominica,,"3,170,187"
190,Djibouti,,"301,094"
191,CAR,,"16,205"
192,Gambia,,"60,851"
193,Saint Martin,,"2,828,643"
194,Vanuatu,,"77,606"
195,Greenland,,"2,894,810"
196,Yemen,,"10,579"
197,Caribbean Netherlands,,"1,130,559"
198,Macao,+116,"11,760"
199,Sint Maarten,,"1,411,454"
200,Eritrea,,"6,470"
201,Niger,,"9,759"
202,St. Vincent Grenadines,,"1,023,720"
203,Guinea-Bissau,,"70,385"
204,Comoros,,
205,Antigua and Barbuda,,"189,943"
206,Liberia,,"26,356"
207,Sierra Leone,,"31,296"
208,Chad,,"10,988"
209,British Virgin Islands,,"3,508,269"
210,Cook Islands,,"1,120,596"
211,Saint Kitts and Nevis,,"2,356,555"
212,Sao Tome and Principe,,"127,530"
213,Turks and Caicos,,"15,408,143"
214,Palau,,"3,831,076"
215,St. Barth,,"7,908,095"
216,Nauru,,"1,881,042"
217,Kiribati,,
218,Anguilla,,"3,373,736"
219,Wallis and Futuna,,"1,867,419"
220,Saint Pierre Miquelon,,"4,410,488"
221,Tuvalu,,
222,Saint Helena,,
223,Falkland Islands,,"2,439,107"
224,Montserrat,,"3,577,442"
225,Niue,,
226,Diamond Princess,,
227,Vatican City,,
228,Western Sahara,,
229,MS Zaandam,,
230,Tokelau,,
231,China,,"110,461"
,Total:,"+2,617",
,Total:,"+1,495",
,Total:,"+1,677",
,Total:,+22,
,Total:,,
,Total:,,
,Total:,,
,Total:,"+5,811",
